"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10967","PD-555, PD-552 Bucket overview - Delete selected object (s)","","Thu Dec 25 17:27:14 PKT 2025","passed","Thu Dec 25 17:27:25 PKT 2025","","22.Object Storage Tests","",""
"","5970","[PD-675] Увеличить NVME диск автоматически - С перезагрузкой серверa (математические символы)","","Thu Dec 25 15:54:44 PKT 2025","passed","Thu Dec 25 15:54:50 PKT 2025","","7.Servers - Disks tab Part2","",""
"","4787","PD-86 Добавить расписание (С Без названия)","","Thu Dec 25 16:27:48 PKT 2025","passed","Thu Dec 25 16:27:53 PKT 2025","","12.Servers - Schedule Backup tab","",""
"","19514","[PD-820, PD-451] Create - External LB with UDP","","Thu Dec 25 16:37:46 PKT 2025","passed","Thu Dec 25 16:38:05 PKT 2025","","14.Load Balancer Tests","",""
"","5950","[PD-171] Удалить пользовательский образ, не связанный с серверами","","Thu Dec 25 17:04:08 PKT 2025","passed","Thu Dec 25 17:04:14 PKT 2025","","21.Custom Templates Tests","",""
"","5636","PD-534 Creating bucket with less than min length name (unsuccessful)","","Thu Dec 25 17:25:34 PKT 2025","passed","Thu Dec 25 17:25:40 PKT 2025","","22.Object Storage Tests","",""
"","15093","Изменить IP у имеющейся сети","","Thu Dec 25 16:03:46 PKT 2025","passed","Thu Dec 25 16:04:01 PKT 2025","","9.Servers - Local Network tab","",""
"","13711","PD-539 Creating bucket for Public-read mode","","Thu Dec 25 17:25:58 PKT 2025","passed","Thu Dec 25 17:26:12 PKT 2025","","22.Object Storage Tests","",""
"","6294","[PD-12] Проверка обязательности полей","","Thu Dec 25 15:03:47 PKT 2025","passed","Thu Dec 25 15:03:53 PKT 2025","","2.Create Server Tests Part1","",""
"","5763","[PD-697] Пометить NVME диск как загрузочный -  кнопка «Отмена»","","Thu Dec 25 15:55:21 PKT 2025","passed","Thu Dec 25 15:55:26 PKT 2025","","7.Servers - Disks tab Part2","",""
"","5818","[PD-169] Загрузить новый пользовательский образ (с указанием минимальных параметров превышая максимума)","","Thu Dec 25 17:04:02 PKT 2025","passed","Thu Dec 25 17:04:08 PKT 2025","","21.Custom Templates Tests","",""
"","13645","PD-531, PD-538, PD-543 Creating bucket with valid name for any mode (successful)","","Thu Dec 25 17:25:08 PKT 2025","passed","Thu Dec 25 17:25:22 PKT 2025","","22.Object Storage Tests","",""
"","7453","[PD-479, PD-482] Creating security group with inbound rule (Reject)","","Thu Dec 25 16:51:53 PKT 2025","passed","Thu Dec 25 16:52:00 PKT 2025","","18.Security Groups Tests","",""
"","7251","[PD-734] Attach any HDD disk to VM up to 10","","Thu Dec 25 15:41:25 PKT 2025","passed","Thu Dec 25 15:41:33 PKT 2025","","6.Servers - Disks tab Part1","",""
"","9155","PD-749 Delete Versioning bucket","","Thu Dec 25 17:20:51 PKT 2025","failed","Thu Dec 25 17:21:00 PKT 2025","","22.Object Storage Tests","",""
"","14673","[PD-18] Создать новый сервер с неправильными ресурсами (CPU негативное число)","","Thu Dec 25 15:04:55 PKT 2025","passed","Thu Dec 25 15:05:10 PKT 2025","","2.Create Server Tests Part1","",""
"","109915","PD-190 Отображение список Бэкапы","","Thu Dec 25 17:00:44 PKT 2025","passed","Thu Dec 25 17:02:34 PKT 2025","","20.Backups Tests","",""
"","12932","[PD-473, PD-476] Creating security group with inbound rule (Accept)","","Thu Dec 25 16:51:40 PKT 2025","passed","Thu Dec 25 16:51:53 PKT 2025","","18.Security Groups Tests","",""
"","14695","[PD-54] Изменить тип диска с проверкой после этого новых значений лимитов","","Thu Dec 25 15:56:58 PKT 2025","failed","Thu Dec 25 15:57:13 PKT 2025","","8.Servers - Disks tab Part3","",""
"","9222","[PD-471] Cancel button while creating group","","Thu Dec 25 16:45:24 PKT 2025","failed","Thu Dec 25 16:45:33 PKT 2025","","18.Security Groups Tests","",""
"","6296","PD-536 Creating bucket with existing bucket name (unsuccessful)","","Thu Dec 25 17:25:46 PKT 2025","passed","Thu Dec 25 17:25:52 PKT 2025","","22.Object Storage Tests","",""
"","13153","[PD-22] Создать новый сервер с неправильными ресурсами (RAM математические символы +/-)","","Thu Dec 25 15:05:50 PKT 2025","passed","Thu Dec 25 15:06:03 PKT 2025","","2.Create Server Tests Part1","",""
"","12678","[PD-449, PD-450] Create - LB with valid ports - editing ports","","Thu Dec 25 16:39:53 PKT 2025","failed","Thu Dec 25 16:40:05 PKT 2025","","14.Load Balancer Tests","",""
"","34765","[PD-702] Adding up to 10 HDD disks to VM","","Thu Dec 25 15:40:07 PKT 2025","passed","Thu Dec 25 15:40:42 PKT 2025","","6.Servers - Disks tab Part1","",""
"","5720","PD-537 Creating bucket with math symbols/space name (unsuccessful)","","Thu Dec 25 17:25:52 PKT 2025","passed","Thu Dec 25 17:25:58 PKT 2025","","22.Object Storage Tests","",""
"","5978","[PD-152] Создать диск неправильное называние","","Thu Dec 25 16:54:33 PKT 2025","passed","Thu Dec 25 16:54:39 PKT 2025","","19.Disks Tests","",""
"","9326","[PD-495, PD-498] Creating security group with outbound rule (Reject)","","Thu Dec 25 16:52:17 PKT 2025","passed","Thu Dec 25 16:52:27 PKT 2025","","18.Security Groups Tests","",""
"","13440","[PD-455] Terms of Service link validation","","Thu Dec 25 16:37:00 PKT 2025","passed","Thu Dec 25 16:37:13 PKT 2025","","14.Load Balancer Tests","",""
"","4449","[PD-151] Создать диск пустое называние","","Thu Dec 25 16:54:29 PKT 2025","passed","Thu Dec 25 16:54:33 PKT 2025","","19.Disks Tests","",""
"","4661","[PD-110] При пяти неправильных попытках входа, блокируется на час","","Thu Dec 25 14:59:41 PKT 2025","passed","Thu Dec 25 14:59:45 PKT 2025","","1.Login Tests","",""
"","14700","[PD-99] Гибернация","","Thu Dec 25 15:22:47 PKT 2025","passed","Thu Dec 25 15:23:01 PKT 2025","","5.Servers - Actions","",""
"","122876","PD-72 Создать бэкап","","Thu Dec 25 16:17:14 PKT 2025","passed","Thu Dec 25 16:19:17 PKT 2025","","11.Servers - Backups tab","",""
"","5131","Редактировать конфигурацию сервера (CPU - негативное число )","","Thu Dec 25 15:20:29 PKT 2025","passed","Thu Dec 25 15:20:34 PKT 2025","","4.Servers - Configuration tab","",""
"","9341","Добавить диск","","Thu Dec 25 15:36:57 PKT 2025","passed","Thu Dec 25 15:37:07 PKT 2025","","6.Servers - Disks tab Part1","",""
